1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
23125.13000000,23125.13000000,25250.00000000,25250.00000000,21351.07000000,21351.07000000,24329.38000000,24329.38000000,6596925.07639000,6596925.07639000
16541.77000000,16541.77000000,23960.54000000,23960.54000000,16499.01000000,16499.01000000,23125.13000000,23125.13000000,7977028.87801000,7977028.87801000
17165.53000000,17165.53000000,18387.95000000,18387.95000000,16256.30000000,16256.30000000,16542.40000000,16542.40000000,5803833.88187000,5803833.88187000
20490.74000000,20490.74000000,21480.65000000,21480.65000000,15476.00000000,15476.00000000,17163.64000000,17163.64000000,9127693.50906500,9127693.50906500
19422.61000000,19422.61000000,21085.00000000,21085.00000000,18190.00000000,18190.00000000,20490.74000000,20490.74000000,7499121.81542000,7499121.81542000
20048.44000000,20048.44000000,22799.00000000,22799.00000000,18125.98000000,18125.98000000,19422.61000000,19422.61000000,9838930.53657000,9838930.53657000
23296.36000000,23296.36000000,25211.32000000,25211.32000000,19520.00000000,19520.00000000,20050.02000000,20050.02000000,5692462.41571000,5692462.41571000
19942.21000000,19942.21000000,24668.00000000,24668.00000000,18781.00000000,18781.00000000,23293.32000000,23293.32000000,4983278.58810000,4983278.58810000
31801.05000000,31801.05000000,31982.97000000,31982.97000000,17622.00000000,17622.00000000,19942.21000000,19942.21000000,2816058.47322600,2816058.47322600
37630.80000000,37630.80000000,40023.77000000,40023.77000000,26700.00000000,26700.00000000,31801.04000000,31801.04000000,2387839.68080400,2387839.68080400
45510.35000000,45510.35000000,47444.11000000,47444.11000000,37578.20000000,37578.20000000,37630.80000000,37630.80000000,1267655.68178000,1267655.68178000
43160.00000000,43160.00000000,48189.84000000,48189.84000000,37155.00000000,37155.00000000,45510.34000000,45510.34000000,1501398.79591000,1501398.79591000
38466.90000000,38466.90000000,45821.00000000,45821.00000000,34322.28000000,34322.28000000,43160.00000000,43160.00000000,1253514.21906000,1253514.21906000
46216.93000000,46216.93000000,47990.00000000,47990.00000000,32917.17000000,32917.17000000,38466.90000000,38466.90000000,1279407.46572100,1279407.46572100
56950.56000000,56950.56000000,59053.55000000,59053.55000000,42000.30000000,42000.30000000,46216.93000000,46216.93000000,1233745.52431800,1233745.52431800
61299.81000000,61299.81000000,69000.00000000,69000.00000000,53256.64000000,53256.64000000,56950.56000000,56950.56000000,1291900.10524800,1291900.10524800
43820.01000000,43820.01000000,67000.00000000,67000.00000000,43283.03000000,43283.03000000,61299.80000000,61299.80000000,1565556.29262300,1565556.29262300
47100.89000000,47100.89000000,52920.00000000,52920.00000000,39600.00000000,39600.00000000,43824.10000000,43824.10000000,1527799.51076800,1527799.51076800
41461.84000000,41461.84000000,50500.00000000,50500.00000000,37332.70000000,37332.70000000,47100.89000000,47100.89000000,1635402.87424500,1635402.87424500
35045.00000000,35045.00000000,42448.00000000,42448.00000000,29278.00000000,29278.00000000,41461.83000000,41461.83000000,1778463.26483700,1778463.26483700
37253.82000000,37253.82000000,41330.00000000,41330.00000000,28805.00000000,28805.00000000,35045.00000000,35045.00000000,2901775.30592300,2901775.30592300
57697.25000000,57697.25000000,59500.00000000,59500.00000000,30000.00000000,30000.00000000,37253.81000000,37253.81000000,3536245.25657300,3536245.25657300
58739.46000000,58739.46000000,64854.00000000,64854.00000000,46930.00000000,46930.00000000,57694.27000000,57694.27000000,1993468.93800700,1993468.93800700
45134.11000000,45134.11000000,61844.00000000,61844.00000000,44950.53000000,44950.53000000,58740.55000000,58740.55000000,2098808.02743200,2098808.02743200
33092.97000000,33092.97000000,58352.80000000,58352.80000000,32296.16000000,32296.16000000,45135.66000000,45135.66000000,2518242.14851700,2518242.14851700
28923.63000000,28923.63000000,41950.00000000,41950.00000000,28130.00000000,28130.00000000,33092.98000000,33092.98000000,3440864.75001900,3440864.75001900
19695.87000000,19695.87000000,29300.00000000,29300.00000000,17572.33000000,17572.33000000,28923.63000000,28923.63000000,2495281.85621700,2495281.85621700
13791.00000000,13791.00000000,19863.16000000,19863.16000000,13195.05000000,13195.05000000,19695.87000000,19695.87000000,2707064.91116500,2707064.91116500
10776.59000000,10776.59000000,14100.00000000,14100.00000000,10374.00000000,10374.00000000,13791.00000000,13791.00000000,1592634.41994600,1592634.41994600
11649.51000000,11649.51000000,12050.85000000,12050.85000000,9825.00000000,9825.00000000,10776.59000000,10776.59000000,1730389.16017900,1730389.16017900
11335.46000000,11335.46000000,12468.00000000,12468.00000000,10518.50000000,10518.50000000,11649.51000000,11649.51000000,1891193.00712800,1891193.00712800
9138.08000000,9138.08000000,11444.00000000,11444.00000000,8893.03000000,8893.03000000,11335.46000000,11335.46000000,1507827.21494000,1507827.21494000
9448.27000000,9448.27000000,10380.00000000,10380.00000000,8833.00000000,8833.00000000,9138.55000000,9138.55000000,1504745.51792200,1504745.51792200
